component;target;action;comp_map;cat_map;code;spec;median;medmad_tau
mod_etherpad;course_module;viewed;Etherpad;Starting;1;;0 days 00:00:40;0 days 00:01:15
mod_etherpadlite;course_module;viewed;Etherpad;Starting;1;;0 days 00:00:40;0 days 00:01:15
mod_feedback;course_module;viewed;Feedback;Opening;1;;0 days 00:00:19;0 days 00:00:34
mod_feedback;response;deleted;Feedback;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_feedback;response;submitted;Feedback;Closing;1;;0 days 00:00:04;0 days 00:00:06
mod_forum;assessable;uploaded;Forum;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_forum;course;searched;Forum;Starting;1;;0 days 00:00:21;0 days 00:00:37
mod_forum;course_module;viewed;Forum;Starting;1;;0 days 00:00:05;0 days 00:00:08
mod_forum;discussion;created;Forum;Starting;1;;0 days 00:00:00;0 days 00:00:00
mod_forum;discussion;deleted;Forum;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_forum;discussion;viewed;Forum;Starting;1;;0 days 00:00:30;0 days 00:00:56
mod_forum;discussion_subscription;created;Forum;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_forum;discussion_subscription;deleted;Forum;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_forum;post;created;Forum;Starting;1;;0 days 00:00:00;0 days 00:00:00
mod_forum;post;deleted;Forum;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_forum;post;updated;Forum;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_forum;subscribers;viewed;Forum;Starting;1;;0 days 00:00:05;0 days 00:00:10
mod_forum;subscription;created;Forum;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_forum;subscription;deleted;Forum;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_glossary;comment;created;Glossary;Ending;1;;0 days 00:00:00;0 days 00:00:00
mod_glossary;comment;deleted;Glossary;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_glossary;course_module;viewed;Glossary;Starting;1;;0 days 00:00:32;0 days 00:01:00
mod_glossary;entry;viewed;Glossary;Starting;1;;0 days 00:00:20;0 days 00:00:34
mod_groupselect;course_module;viewed;Groupselect;Starting;1;;0 days 00:00:13;0 days 00:00:25
mod_groupselect;export_link;created;Groupselect;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_h5pactivity;course_module;viewed;H5P;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_h5pactivity;statement;received;H5P;Closing;1;;0 days 00:00:00;0 days 00:00:00
mod_lesson;content_page;viewed;Lesson;Starting;1;;0 days 00:00:00;0 days 00:00:00
mod_lesson;course_module;viewed;Lesson;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_lesson;lesson;ended;Lesson;Starting;1;;0 days 00:00:16;0 days 00:00:25
mod_lesson;lesson;restarted;Lesson;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_lesson;lesson;resumed;Lesson;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_lesson;lesson;started;Lesson;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_lesson;question;answered;Lesson;Closing;1;;0 days 00:00:01;0 days 00:00:02
mod_lesson;question;viewed;Lesson;Opening;1;;0 days 00:00:00;0 days 00:00:00
mod_ocyulinc;course_module;viewed;yulinc;Starting;1;;0 days 00:04:53;0 days 00:09:43
mod_page;course_module;viewed;Page;Starting;1;;0 days 00:00:31;0 days 00:00:58
mod_quiz;attempt;becameoverdue;Quiz;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_quiz;attempt;deleted;Quiz;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_quiz;attempt;reviewed;Quiz;Starting;1;;0 days 00:00:17;0 days 00:00:34
mod_quiz;attempt;started;Quiz;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_quiz;attempt;submitted;Quiz;Simultaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_quiz;attempt;viewed;Quiz;Closing;1;;0 days 00:00:17;0 days 00:00:31
mod_quiz;attempt_preview;started;Quiz;Starting;1;;0 days 00:00:01;0 days 00:00:02
mod_quiz;attempt_summary;viewed;Quiz;Starting;1;;0 days 00:00:04;0 days 00:00:05
mod_quiz;course_module;viewed;Quiz;Starting;1;;0 days 00:00:06;0 days 00:00:10
mod_resource;course_module;viewed;Resource;Starting;1;;0 days 00:01:30;0 days 00:02:58
mod_scheduler;booking;added;Scheduler;Ending;1;;0 days 00:00:00;0 days 00:00:00
mod_scheduler;booking;removed;Scheduler;Instantaneous;1;;0 days 00:00:00;0 days 00:00:00
mod_scheduler;booking_form;viewed;Scheduler;Starting;1;;0 days 00:00:09;0 days 00:00:18
mod_survey;course_module;viewed;Survey;Opening;1;;0 days 00:00:06;0 days 00:00:08
mod_url;course_module;viewed;URL;Starting;1;;0 days 00:00:22;0 days 00:00:44
mod_wiki;comments;viewed;Wiki;Starting;1;;0 days 00:00:03;0 days 00:00:04
